
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,29,34,29,11,29,29,9,3,2,406,207,135,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,62,70,62,17,63,62,15,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,186,12,12,12,7,7,7,1,1,28,28,28,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,115,131,115,26,121,115,24,5,2,500,207,100,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,365,422,365,105,366,365,91,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,201,225,201,45,202,201,40,5,2,508,207,101,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,49,58,49,14,50,49,12,4,2,499,207,124,Yes
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,17,17,17,17,17,17,17,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,33,44,33,22,34,33,17,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,16,19,16,6,19,16,6,3,3,417,207,139,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,6,7,6,3,6,6,3,2,2,378,207,189,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,93,108,93,27,93,93,23,4,3,476,207,119,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,26,26,26,26,26,26,26,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,24,24,24,24,24,24,24,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,60,63,60,31,61,60,30,2,2,300,207,150,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,72,72,72,72,72,72,72,1,1,207,207,207,Yes
