DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,5,89.0930646117368,IBk,false,false,false,0.35365853658536583,0.12393162393162394,0.5371221748772769,0.05937926005769869,29.0,53.0,633.0,205.0,0.33476394849785407,2103
STORM,5,89.0930646117368,IBk,true,false,false,0.494949494949495,0.2094017094017094,0.5898526077097506,0.16855107911455688,49.0,50.0,636.0,185.0,0.43162393162393164,1900
STORM,5,89.0930646117368,IBk,true,true,false,0.36645962732919257,0.5042735042735043,0.6206268221574344,0.184089750127486,118.0,204.0,482.0,116.0,0.6623931623931624,1364
STORM,5,89.0930646117368,IBk,true,false,true,0.4835164835164835,0.18803418803418803,0.5898526077097506,0.14964978238147983,44.0,47.0,639.0,190.0,0.20512820512820512,1947
STORM,6,88.51925700493231,RandomForest,false,false,false,0.4,0.3346303501945525,0.6566833558800422,0.1913427849149209,86.0,129.0,708.0,171.0,0.7237354085603113,1839
STORM,6,88.51925700493231,RandomForest,true,false,false,0.328,0.15953307392996108,0.6671780353216277,0.07198479887348797,41.0,84.0,753.0,216.0,0.688715953307393,2244
STORM,6,88.51925700493231,RandomForest,true,true,false,0.34057971014492755,0.7315175097276264,0.6587590477385883,0.2122271410468337,188.0,364.0,473.0,69.0,0.8287937743190662,1054
STORM,6,88.51925700493231,RandomForest,true,false,true,0.5,0.0038910505836575876,0.6601583383307997,0.004108841802506494,1.0,1.0,836.0,256.0,0.5758754863813229,2561
STORM,6,88.51925700493231,NaiveBayes,false,false,false,0.2887323943661972,0.15953307392996108,0.6254271090470412,0.04599497136317872,41.0,101.0,736.0,216.0,0.19455252918287938,2261
STORM,6,88.51925700493231,NaiveBayes,true,false,false,0.10144927536231885,0.027237354085603113,0.5890316072316826,-0.06273779648668355,7.0,62.0,775.0,250.0,0.17898832684824903,2562
STORM,6,88.51925700493231,NaiveBayes,true,true,false,0.25,0.13229571984435798,0.5885713754422177,0.012465350879629036,34.0,102.0,735.0,223.0,0.8054474708171206,2332
STORM,6,88.51925700493231,NaiveBayes,true,false,true,0.08333333333333333,0.019455252918287938,0.5890316072316826,-0.06298305470980314,5.0,55.0,782.0,252.0,0.023346303501945526,2575
STORM,6,88.51925700493231,IBk,false,false,false,0.358695652173913,0.3852140077821012,0.5938872850508347,0.1694051736251182,99.0,177.0,660.0,158.0,0.5291828793774319,1757
STORM,6,88.51925700493231,IBk,true,false,false,0.3780487804878049,0.36186770428015563,0.6055860052345555,0.1817675621345892,93.0,153.0,684.0,164.0,0.5252918287937743,1793
STORM,6,88.51925700493231,IBk,true,true,false,0.32558139534883723,0.6536964980544747,0.6451775611434203,0.17634958427945807,168.0,348.0,489.0,89.0,0.7159533073929961,1238
STORM,6,88.51925700493231,IBk,true,false,true,0.3770491803278688,0.35797665369649806,0.6055860052345555,0.1795220001987328,92.0,152.0,685.0,165.0,0.35019455252918286,1802
STORM,7,69.59538416593631,RandomForest,false,false,false,0.1295238095238095,0.5666666666666667,0.6872312855807631,0.12912066120457766,136.0,914.0,3009.0,104.0,0.47280334728033474,1954
