Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,29,29,29,9,29,29,9,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,34,68,34,34,68,34,34,2,2,2,1,1,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java,40,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/SystemBolt.java,114,156,114,15,111,114,11,10,5,1332,434,133,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/AssignableMetric.java,13,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/CombinedMetric.java,17,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/CountMetric.java,18,1,1,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/ICombiner.java,5,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IMetric.java,4,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IMetricsConsumer.java,40,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IReducer.java,6,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,4,8,4,4,8,4,4,2,2,6,3,3,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MeanReducer.java,33,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MultiCountMetric.java,23,1,1,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MultiReducedMetric.java,28,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/ReducedMetric.java,17,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/StateMetric.java,11,22,11,11,22,11,11,2,2,6,3,3,No
0.9.0.1,storm-core/src/jvm/backtype/storm/nimbus/DefaultTopologyValidator.java,9,9,4,1,6,3,0,7,3,1307,434,186,No
0.9.0.1,storm-core/src/jvm/backtype/storm/nimbus/ITopologyValidator.java,8,5,1,0,2,1,0,8,3,1308,434,163,No
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/CompoundSpout.java,4,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/CompoundTask.java,4,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/TaskBundle.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/Cluster.java,242,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/ExecutorDetails.java,29,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/INimbus.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/IScheduler.java,6,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/ISupervisor.java,12,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignment.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignmentImpl.java,55,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java,50,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/Topologies.java,32,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/TopologyDetails.java,57,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/WorkerSlot.java,28,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,61,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/IAuthorizer.java,6,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ITransportPlugin.java,13,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ReqContext.java,53,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/SaslTransportPlugin.java,89,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/SimpleTransportPlugin.java,65,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ThriftClient.java,49,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ThriftServer.java,45,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DenyAuthorizer.java,20,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/NoopAuthorizer.java,20,0,0,0,0,0,0,3,2,1302,434,434,No
